employee_id,employee_name,department,job_title,store_id,manager_id,joining_date,employment_status,city,salary
205,James Spencer,Customer Service,Customer Service Rep,20092,,2021-11-16,Active,Cruzberg,62720.84
206,Laurie Hicks,Management,Stock Clerk,23749,,2016-07-26,Active,Lake Diana,47044.69
207,Kaitlyn Brown,Sales,Cashier,27029,,2017-10-09,Active,Silvastad,22165.01
208,Sandra Mathis,Management,Stock Clerk,26073,,2015-11-01,Active,Lake Julie,72765.68
209,James Hunt,Sales,Sales Executive,24425,,2015-09-29,Active,North Michellemouth,80841.29
210,Brian Baker,Stockroom,Loss Prevention Officer,22062,,2019-11-30,Active,West Brittany,85223.1
211,Maria Newton,Customer Service,Stock Clerk,20658,,2022-05-12,Active,Port Shelby,66943.71
212,Jennifer Allen,Stockroom,Department Lead,22685,,2022-06-14,Active,New Daniel,48071.71
213,Charles Moss,Stockroom,Merchandiser,17724,,2020-04-21,Active,East Brittneyhaven,73001.06
214,Deanna Brown,Sales,Sales Executive,6811,,2017-10-01,Terminated,East Daniel,50523.16
215,Veronica Smith DDS,Management,Stock Clerk,1881,,2025-11-30,Active,Lake Mark,18043.71
216,Tyler Hart,Sales,Assistant Manager,1719,,2016-06-20,Active,Yorkshire,80374.27
217,Janet Mills,Management,Department Lead,19319,,2023-08-21,Active,Markstad,33483.1
218,Danielle Tate,Front End,Sales Executive,4774,,2024-07-26,Active,Ethanmouth,72360.41
219,Leah Rodriguez,Loss Prevention,Cashier,21889,,2020-03-10,Active,East Richard,43671.91
220,Andrew Sherman,Stockroom,Merchandiser,1098,,2021-10-26,On Leave,Lozanofort,85743.64
221,Dr. Jennifer Williams,Stockroom,Department Lead,8899,,2016-02-21,Active,Burnsville,42511.56
222,Lisa Shah,Stockroom,Loss Prevention Officer,28996,,2024-07-18,Active,Michaelberg,81259.01
223,Marie Phillips,Loss Prevention,Sales Executive,16577,,2015-08-25,Active,Caitlinberg,65719.86
224,Kathryn Ryan,Management,Cashier,7073,,2018-09-23,Active,Gomezberg,83587.6
225,Chad Johnson,Management,Department Lead,3059,,2024-05-14,Active,West Erikhaven,63088.98
226,Michael Cochran,Stockroom,Assistant Manager,25917,,2017-03-18,Active,Travishaven,52651.38
227,Paul Mitchell,Front End,Cashier,19514,,2019-06-15,Active,Millerfort,22119.45
228,Michael Foster,Front End,Department Lead,25726,,2025-11-01,Terminated,Andersonberg,20570.14
229,Carol Hobbs,Customer Service,Assistant Manager,29671,,2020-06-27,Active,Port Adamfurt,58033.27
230,Michelle Jones,Front End,Loss Prevention Officer,29589,,2016-09-11,Active,Ericville,30021.45
231,Christine Scott,Loss Prevention,Customer Service Rep,18906,,2022-06-14,Terminated,Lake Alanside,65543.64
232,Nancy Anderson,Sales,Department Lead,25552,,2017-05-28,Active,New Jasontown,85731.82
233,Tina Lee,Front End,Loss Prevention Officer,1439,,2018-01-08,Active,East Jeremy,59921.03
234,Adrienne Liu,Front End,Stock Clerk,9446,,2015-10-14,Active,Barrettport,51083.47
235,Veronica Dixon,Loss Prevention,Store Manager,3608,,2024-07-05,Active,Port Jennifertown,80156.58
236,Laura Saunders,Front End,Customer Service Rep,17527,,2019-02-22,Active,Port Paul,24986.59
237,Robert Dunn,Stockroom,Customer Service Rep,1842,,2017-10-16,Active,South Dennis,58053.26
238,Edward Thomas,Stockroom,Assistant Manager,15986,,2017-02-21,Active,New Raymondton,59005.07
239,Ronald Lloyd,Customer Service,Merchandiser,28235,,2017-12-19,Active,Michellestad,65762.68
240,Dylan Trevino,Front End,Merchandiser,18131,,2018-12-24,Active,Millerbury,45622.4
241,Jessica Moreno,Loss Prevention,Store Manager,15463,,2023-08-19,Active,Carlberg,39678.19
242,Patricia Davis,Sales,Assistant Manager,8677,,2018-01-23,Active,Baldwintown,87717.15
243,Mitchell Coleman,Customer Service,Store Manager,11936,,2023-01-24,Active,Robertburgh,83993.41
244,Brittany Haynes,Stockroom,Department Lead,23317,,2021-07-24,Active,Rebekahmouth,34257.7
245,Lisa Bowman,Customer Service,Store Manager,25583,,2024-08-20,Active,Port Maryview,66833.02
246,Dylan Rogers,Front End,Store Manager,24435,,2023-12-18,Active,West Nicole,76972.35
247,Anthony Harris,Front End,Department Lead,29338,,2020-12-18,Active,Harperbury,33725.25
248,William Robertson,Customer Service,Sales Executive,2612,,2025-08-09,Active,Walkerburgh,54026.52
249,Michael Moore,Loss Prevention,Assistant Manager,19699,,2019-05-21,Active,West Beckyshire,39142.24
250,John Moore,Stockroom,Sales Executive,9468,,2021-01-08,Active,Port Samanthaland,40636.6
251,Sara Allen,Front End,Merchandiser,17336,,2021-05-12,Active,West Marciaport,74871.17
252,James Delacruz,Front End,Store Manager,15767,,2023-11-20,Active,Sullivanmouth,65026.71
253,Darlene Pruitt,Customer Service,Sales Executive,2827,,2024-06-04,Active,Christensenshire,88588.46
254,Nancy Garza,Loss Prevention,Merchandiser,2334,,2022-12-26,Active,Port Timothybury,71050.96
255,Nicole Mcneil,Front End,Customer Service Rep,19549,,2017-05-28,Active,West Melinda,48465.77
256,Michael Jones,Loss Prevention,Department Lead,26461,,2018-05-25,Active,Whitneyburgh,25797.45
257,Catherine Farmer MD,Management,Store Manager,11941,,2017-04-09,Active,West Laurenfort,34171.71
258,Lawrence Mitchell,Stockroom,Merchandiser,28644,,2016-03-29,Active,Port Andre,49916.31
259,Thomas Parker,Stockroom,Stock Clerk,9532,,2021-12-28,Active,Hubbardhaven,57142.29
260,Lisa Bass,Stockroom,Customer Service Rep,8942,,2022-06-25,On Leave,Lake Seanfurt,81467.13
261,Adam James,Stockroom,Loss Prevention Officer,13772,,2015-09-06,Active,Hallview,54720.23
262,Ms. Sandra Marshall,Stockroom,Sales Executive,28963,,2015-08-07,Active,Warrenstad,70266.16
263,Linda Thomas,Customer Service,Merchandiser,29731,,2020-07-28,Active,Salasstad,40786.46
264,Isaiah Miller,Management,Loss Prevention Officer,19820,,2021-12-03,Active,Wattston,23452.31
265,Tara Brown DVM,Management,Customer Service Rep,429,,2017-01-31,Active,Kevinberg,80689.27
266,Dakota Hill,Customer Service,Store Manager,8104,,2023-06-23,Active,New Barbarastad,47486.09
267,Heather Odom,Stockroom,Merchandiser,12179,,2015-05-02,Active,New Mariachester,85914.09
268,Andrew Spencer,Sales,Sales Executive,7487,,2021-10-04,Active,Joshualand,18406.96
269,Elizabeth Mcdonald,Management,Cashier,16591,,2018-09-22,Active,Baxterburgh,36394.22
270,Jenna Perez,Front End,Stock Clerk,11727,,2015-08-28,Active,Williamschester,64393.63
271,Beth Woods,Stockroom,Stock Clerk,26782,,2025-02-24,Active,New Christopherfort,42046.07
272,Valerie Barron,Loss Prevention,Cashier,8248,,2023-01-28,Active,Victorhaven,33721.11
273,Julie Hernandez,Loss Prevention,Customer Service Rep,13598,,2017-06-06,Active,Riosmouth,52806.54
274,Rachel Perez,Management,Stock Clerk,14695,,2018-07-23,Terminated,Dayville,52229.78
275,Keith Tate,Sales,Sales Executive,29341,,2017-10-28,Active,Adamsburgh,45351.03
276,Jason Cohen,Stockroom,Department Lead,20169,,2016-04-26,Active,Burnsstad,20132.55
277,Vanessa Brown,Customer Service,Cashier,19169,,2019-05-15,On Leave,Kristinemouth,50992.16
278,Jon Jones,Management,Cashier,19683,,2024-08-12,Active,South Christianburgh,43756.39
279,Megan Torres,Loss Prevention,Stock Clerk,27803,,2016-06-12,Active,Alicialand,77840.42
280,George Russo,Management,Customer Service Rep,3291,,2022-09-08,Active,New Amanda,60666.39
281,Sara Lopez,Front End,Loss Prevention Officer,9348,,2024-05-20,Active,Longville,50353.33
282,Sarah Elliott,Stockroom,Store Manager,27364,,2018-07-19,Active,New Sandramouth,42757.66
283,Joseph Griffith,Loss Prevention,Assistant Manager,22508,,2021-10-10,Active,New Robert,54954.61
284,Jason Smith,Front End,Store Manager,20599,,2022-04-27,Active,Ryanbury,94722.36
285,Sara Anthony,Management,Sales Executive,29700,,2017-12-15,Active,North Pamela,89950.15
286,Kelli Walker,Loss Prevention,Loss Prevention Officer,29180,,2016-01-03,Active,South Tonyhaven,22752.64
287,Stacy Taylor,Management,Merchandiser,28444,,2021-04-18,Active,Haleyburgh,87680.67
288,Jason Johnson,Sales,Sales Executive,16113,,2020-02-24,Active,Piercefurt,58070.5
289,Gregory Walker,Customer Service,Assistant Manager,460,,2016-04-18,Active,Lake Theresa,22873.67
