employee_id,employee_name,department,job_title,store_id,manager_id,joining_date,employment_status,city,salary
21334,Caleb Salazar,Stockroom,Sales Executive,29882,7080.0,2024-01-30,Terminated,Port Maryport,65248.11
16138,Travis Torres,Front End,Loss Prevention Officer,16399,10200.0,2020-03-15,ACTIVE,Port Roberthaven,55160.38
7710,  William Wiggins  ,Front End,Sales Executive,2225,3426.0,2015-06-04,Active,Johnsonchester,57013.89
28730,William Mitchell,Customer Service,Cashier,2838,19070.0,14/03/2023,Terminated,North Richard,55872.58
19643,Russell Brown,Loss Prevention,Store Manager,16987,14701.0,2016-10-10,Active,Port Mark,
14670,Douglas Barnett,Customer Service,Customer Service Rep,26953,1230.0,2016-02-05,Active,Ethanside,27271.2
6132,Jason Thompson,Sales,Stock Clerk,53,2397.0,2025-03-02,Active,North Donna,93317.17
18136,Matthew Murphy,Management,Assistant Manager,4869,14231.0,2016-06-22,Active,Aprilstad,91774.41
27914,Christian Phillips,,Loss Prevention Officer,10384,5464.0,2023-01-10,Active,Jamesberg,28436.4
24735,Tiffany Woodard,Front End,Department Lead,3494,24242.0,2021-03-13,Active,Port Carolineland,75749.4
9078,Emily Morris,Management,Stock Clerk,17540,8871.0,2015-12-31,Active,Martinezton,
10586,Jeffery Hardy,Management,Store Manager,22474,10258.0,2022-05-16,Active,New Margaret,43365.62
5756,Janice Sims,Management,Department Lead,23350,4094.0,2024-05-08,Active,Ericberg,49078.17
21936,David Buck,Loss Prevention,Customer Service Rep,2298,606.0,06/03/2016,Active.,West Joseph,46918.09
2881,John Mccarthy,Customer Service,Store Manager,13442,682.0,2020-10-04,Active,Paynechester,46655.12
1297,Sandra Jackson,Stockroom,Merchandiser,17541,494.0,26/09/2017,Active,East Meganstad,70761.12
19283,Shelly Cook,Management,Customer Service Rep,8723,11854.0,2016-09-03,Active,Carlsonhaven,82329.85
24649,Mary Riley,Sales,Store Manager,25344,24064.0,26/12/2022,Active,Lake Joseph,77243.54
16479,Karen Gutierrez,Front End,Assistant Manager,26633,565.0,2025-10-08,Active,Franklinside,25922.69
8342,Kelly Brooks,Sales,Store Manager,12084,4877.0,2015-03-30,Active,Bakerland,36326.55
2827,Jeffrey Martin,Customer Service,Stock Clerk,23681,2611.0,07/11/2024,Active,Port Maryhaven,49753.6
10685,Kyle Marsh,Management,Department Lead,15591,8506.0,2020-07-13,Active,Port Glenn,38397.42
13117,Michael Davis,Management,Customer Service Rep,5137,6355.0,2020-08-27,Active,East Wandamouth,86081.07
2790,Lindsey Johnson,Stockroom,Cashier,5518,769.0,2018-01-19,Active,Montgomeryside,66681.33
20306,Jason Riley,Stockroom,Department Lead,2767,17552.0,2020-01-30,On Leave,Zimmermanport,35506.49
13005,Janice Rivas,Loss Prevention,Customer Service Rep,228,11706.0,,Active,West Williamfurt,83998.68
21239,Jeffrey Cantu,Sales,Stock Clerk,27994,14598.0,2015-11-30,Active,Smithburgh,78681.97
18509,Mary Boyd,Sales,Department Lead,661,16516.0,2021-10-10,Active,Charlesfurt,69172.02
5932,Christopher Williams,Customer Service,Stock Clerk,23342,3417.0,2022-06-07,Active,Sandraborough,61567.41
